Question_title,questions_description,Answer
Safeguarding Memories,Common Application: Topic of Your Choice,"Leaping over crooked crevices in the sidewalk, my childhood self hopped a few yards ahead of my grandfather. As I paused to scrutinize a colorful candy wrapper, the smell of melting sugar drifted from a small blue cart where an old woman flipped flat buns on a pan. Grandpa always bought two buns: one for him and one for me.Not long before my fourteenth birthday, my grandfather was diagnosed with a severe case of Alzheimer’s, and shortly afterwards, he moved into a nursing home. Upon entering his room, I shouted “Hi Grandpa!”Grandpa murmured, “Who are you?”The next day, I bought two of the sweet buns Grandpa and I had enjoyed.“Grandpa, do you want one of these?”He paused, then said, “No. Who are you?”Leaving the buns in the paper bag, I replied, “I’m Rachael, your granddaughter.”Eyes widening, he gasped, “You have to get out of here; the communists are guarding this place!”I explained, “No, the Korean War is over! You’re safe in America.” With a small sigh, I returned home for the day.Now, after more than three years, Grandpa recognizes me when I step into his room. However, he cannot connect the round-faced child beside the bun cart to the person I am today. Once a memory slides past the grip of his mind, it can never return.This troubling truth has motivated me to preserve the memories of others in my grandfather’s generation through the War Stories Project. A year after joining the volunteer effort, I have become the coordinator of the project. Fellow volunteers and I collect the experiences of World War II witnesses and collaborate with local colleges to produce a documentary and companion anthology for high school students.While managing the project, I interviewed Holocaust survivor Bruno Bienenfeld, who unraveled the touching story of his childhood. In 1943, his family was taken to the Jasenovic concentration camp, where they were only given one piece of bread a day. But one day, he reached under his threadbare pillow and found another piece of bread. His mother said that it was an answer to his prayers. The young Bruno asked, “Are there Jewish angels?” His mother smiled and said, “There are angels for all people on earth.” Every day, Bruno found an extra bit of bread under his pillow, but after three hard months, his mother died, and the deliveries ceased. He told his father “The angel didn’t put the bread under the pillow tonight.” His father replied, “He was too busy taking Mom to heaven.”Working with primary sources like Mr. Bienenfeld, I learn about World War II from the people who lived it. I also delegate tasks and teach volunteers how to search for and sort images to be used in the documentary. In addition to the responsibilities of coordinator, I have taken on the position of Fundraising Head for the project. Besides speaking publicly on behalf of the War Stories Project in fundraising efforts, I also burn the midnight oil writing letters to more than 200 corporations and local businesses, looking up addresses, and licking envelopes until my mouth goes dry.Each year, more and more World War II veterans and Holocaust survivors pass away, and the loss of these valuable witnesses reminds me of the urgency to preserve their life stories. Just as Grandpa forgot eating sugar-filled buns with me, we can fail to remember what our world has endured. Whether the record of our past must serve as a lesson or reminiscence, we must look back at the path of our history before laying the cobblestones of the future."
Color Guard,"Common Application: Please elaborate on one of your activities (extracurricular, personal activities, or work experience)(150 words or fewer).","I like to play with guns and knives.It’s not what you think: I’m in color guard. Although events like the Virginia Tech incident have worsened the reputation of weaponry, color guard attempts to transform the traditional connotations of potentially harmful objects into an art form.I’ve participated in this artistic and athletic manner of multi-tasking for three years, starting with flag and advancing to the weapon lines by mastering both rifle and saber. In the familiar settings of home and school, I’m your typical teenager. But at a guard show, I become a dazzling entertainer, a fluid dancer, a dexterous performer.Crimson eye-shadow fans out over my lids, and a crown of twisting locks sits proudly on my head. Brilliant lights gush over the football field, our stage. Maneuvering through lines of gleaming instruments, I roll to the ground, quickly pick up a billowing flag, and spread its silk before me over the night sky."
Poetry,"Please elaborate on one of your activities (extracurricular, personal activities, or work experience)","“Poetry is a packsack of invisible keepsakes.”~ Carl SandburgIt is impossible to convey the art of words with more words. Case in point: try to find another word for “salty.” It isn’t bitter; it isn’t sour; it’s salty. Likewise, the terms “diction” and “tone” do not even come close to expressing the actual feel of a poem. It is the inspiration behind the poem, and that only, which drives the very essence of verse.Just as inspiration can produce poetry, poetry can produce inspiration. Each unforgettable experience during my high school years was made manifest in a poem, and like a little packsack, my poetry harbored my memories. My poetry class trained me to reflect on our world, humankind, and myself. In my backyard, I would often sit cross-legged for hours, absorbing passing autumn breezes and hearing the twitter of sparrows in the sycamores. Homework had never been so enjoyable.During my junior year, I led the annual winter and Valentine’s poetry seminars. As a veteran of the poetry class, I mentored many of the Poetry I students, urging my “mentees” to maintain open minds. At the end of the year, my fellow students and I held a “Readings and the Redwoods” event, except now we were not only the performers, but also the coordinators. At the start of my senior year, the Poetry Club I had founded became an official school club, which gave me the opportunity to invite several prominent contemporary poets, such as Poet Laureate Robert Hass, to our school. In addition, our club brought what we’d learned to the rest of the community, teaching our area youth about poetry.Through every success and every disappointment, poetry has recorded my thoughts onto paper. A composer arranging each individual note, poetry has orchestrated my high school experiences into one resonating composition, bringing all of my memories together. When I want to look back at those memories, all I have to do is open my packsack of poetry, and listen."
Colors of Life,Topic of Choice on the Common App.,"Yellow - one of the primary colors. It is one hue; it is a million hues. Pale yellow, the color of silt in China’s River of Life; saffron yellow, the color of Chinese sovereignty for two millennia; tanned yellow, the tint of my skin.The first day of fourth grade in America, I felt as if I stepped into an aviary full of white birds who chattered in a tongue that I could not comprehend. I began to regret and even resent my parents’ decision in moving here – nothing’s the same! From the hue of their skins and eyes, to their gestures, speech, activities, and even clothes! And so I embarked on an arduous mission toward conformity. In the second week, wearing my first Gap outfit, I strutted into my homeroom, assured that my clothes would garner acceptance and new friends. Instead, come lunchtime, I wandered amongst the throngs waiting for an invitation that never came. Likewise, I remember frantically trying to translate the deluge of English around me, and in turn, haltingly reply.Puberty splattered crimson pimples on my face and murky shadows on my confidence. My awkwardness intensified as my family, during our first six years in America, moved six times to three cities. But to lessen my parents’ worries, I often hid my frustration. After all their efforts for my happiness, how could I appear otherwise? They also continuously reminded me that indeed one could never change her color. Inversely, the diversity present in the world actually vivifies life.It was as I settled into my skin that I finally saw beyond the visible colors, to glimpse the vibrancy within. Through clubs, sports, music, and even the simple gestures of caring and community, I began to blend in amongst the colors of my friends. Our conversations flowed easier, and our laughs freer. Through our camaraderie in difficult times or enjoyment in simply being together, their colors began to shift before my eyes - they themselves embodied unique hues, born of a million and one moments in life. By marveling their differences and sharing their similarities, I foster a stronger confidence in myself, assured in my abilities to adapt and thrive. I now heartily appreciate my itinerant years when I have witnessed the true beauty of diversity, embellished by the inimitable colors of life I have beheld along the way.Striking as a lone color may be, the blending of colors is breathtaking. The harmony of colors inside myself and outside in my environment gives me life. I am one color, I am a million colors: I am the yellow of China, black of certain confidence, the red of dedicated passion, the blue of invariable peace, green of newborn imagination, the pink of brisk youth, the white of hope - a full palette. I dream not of a rainbow, but of a future. Wherever I may wander, I will never be lost."
Unfinished Symphony,"You have already told us about yourself in the Common Application, with its list of activities, the Short Answer, and the Personal Statement. While we leave the topic of your second essay entirely up to you, we encourage you to use this opportunity to tell us something that we could not learn from the rest of your application. Try to pick a topic that will convey some aspect of your experience or outlook that you would like us to understand better.","I play the B.A small square office, no more than ten feet wide, holds two upright mahogany pianos sitting back-to-back. The metronome marks the beat, ta-ta-ta-ta, first 100 beats per minute, then 105, 110, working toward 120. The door is closed, the hall empty. It is a sunny Saturday afternoon; some Governor’s Honors Program (GHP) participants are playing ultimate Frisbee on West lawn, others are attending the square dancing seminar, but four pianists are practicing the opening chord of Schubert’s ""Unfinished Symphony"" for the first time on two Yamahas.It is not just any ""Unfinished Symphony""; it is  ""Unfinished Symphony"".Or so I thought.Jessica joins in with the F.Two days before Dr. Indergaard had announced to us, “We will be holding a concert at the end of six weeks. I need you to submit the ensemble pieces you will be performing.” I thought back to my solo debuts, to bowing to a sea of thunderous applause, to striding toward the stage to receive my trophy, to forgetting the entire development section due to uncontrollable anxiety. I had become accustomed to playing alone, earning distinctions alone, accepting failures alone. The only time I had performed in an ensemble was with my teacher, and all I had to do was learn my part. She would accompany me. Besides, I had a program ready - Chopin’s ""Fantaisie-Impromptu"", Brahm’s ""G Minor Rhapsody"", Bach’s ""Prelude"" and ""Fugue in C Minor"" - it was my choice. So what would I do with three other pianists, taking my time and disregarding my interpretations of the piece? I could no longer work for myself, but I made up my mind to dominate, to play the first piano part, to make the piece mine.It is now the third week, and our progress has slowed. I am frustrated with the tempo, the dynamics, and the style. Jay plays the beginning with too ominous a tone, J.D. is too loud, Jessica’s legato is more accurately a staccato, and the rhythm for my opening part is not in sync with the metronome. Making this piece sound decent is going to be harder than I thought.Jay plays the C.Six weeks of practice - of missing the '70s dance, of opting out of the 5K race, of running back to the dorms from Whitehead Auditorium in the rain before lights-out - amount to this. The lights dim, the spotlight finds its target: we are on stage, the four of us, eight hands, performing Schubert’s ""Unfinished Symphony"" in front of six hundred and seventy-five Governor’s Honors finalists and instructors. But this time, I am not alone. I look up from the keys, meeting Jessica’s glance as she waits for the next cue. I nod to her and smile.It is not any ""Unfinished Symphony""; it is  ""Unfinished Symphony"".J.D. plays the G.GHP is over. The school year has begun, and I find myself once again teaching music at a local elementary school. I look down at my students, who are sitting around the piano in the classroom listening to me play Beethoven’s ""Sonate Number Twelve"". They too must learn that, though the beauty of music arises from the notes, sharing it with others is the joy.We play the F sharp."
The Ride,Please complete a one-page personal statement and submit it with your application.,"September 15, 20024:35 P.M.“Star 94 FM Real-time Traffic…those heading northwest on Peachtree Industrial should expect major delays due to a gas leak….”I abruptly change the radio station. What luck! I have moved exactly one mile in ten minutes. My first car, the epitome of self-liberation, has confined me in a ten-by-five-foot box. The heat is unbearable; the air outside is stagnant; the air conditioning offers little relief. I roll up my pant legs, take off my socks, secure my hair in a ponytail, and sink into my sweat-drenched seat.Today’s ordeal is pure frustration. My obligations begin to float and jumble in my mind: trigonometric problems, an English paper on , an outline about China’s WTO accession. I have to get home. If I do not complete these assignments I will face dire consequences…zeros, failing classes, expulsion from school, rejection from colleges…The clock reads 5:16. Any other mode of transportation would have gotten me home by now. My thoughts begin to wander, and I recall the vehicles that carried me here from my hometown, Yuci, years ago: a bus to Taiyuan, a train to Beijing, an airplane to Memphis, a family sedan to Atlanta. Sitting miserably in my car, awash in these memories, I realize I never enjoyed any of these journeys.March 4, 19931:30 P.M.The blue paint of the metal skeleton had begun to peel off. The seat was not cushioned. The handlebars did not even have a bell that, with a flick of the finger, would ring out with a clean and crisp tone. But it was a bicycle, and it was . Not being able to afford a new one, my grandfather had purchased it from a friend. Though it was dirty and old, I could not wait for my first ride.I climbed on, pulled my feet off the ground, and pedaled to nowhere, without a thought on my mind. I turned round and round in the tiny courtyard, a brick wall blockading the dirt road on one side and towering apartment buildings enclosing another. The courtyard was an apartment in itself: a group of elementary school kids engaged in a game of “rubber band jumping,” two old ladies sitting on stools eating noodles with the aged vinegar aroma engulfing them, aproned figures hanging up lines of fresh wash in the sun, a mother from the second floor calling for her child to return for lunch. From the outlook of the concrete porch of our first-story apartment, my grandparents and great-grandmother watched me maneuver around this Chinese tableau.September 15, 20025:31 P.M.A honk from behind jolts me back, and the sound of a little girl’s laughter during that bicycle ride fades away in my mind. I look at the car two inches in front of me, the one two inches behind me. Why am I in such a hurry to go home? Must I keep dreading the ride simply because it is a means to another destination, another goal? I suddenly realize that my anxiousness and preoccupation with completing a task do not help me get anywhere any faster. I let down my hair, turn up the music, wave to my neighbor, and enjoy the day for what it is."
Most Influential Teacher,"Topic: Indicate a person who has had a significant influence on you, and describe that influence.","She was the toughest; she was the best. She was also the most influential teacher I have ever had. Ms. William, my sixth grade teacher, was never one to settle for second-best. As a demanding teacher, she hadn’t always been popular. In fact, my classmates and I used to grumble frequently about her stringent standards. However, by continually challenging us, Ms. William instilled in us an enduring passion for learning.I remember my first day in her class. While most teachers started the year with fun activities, Ms. William jumped straight into academics. After taking the attendance, she promptly started our first unit: Forces.She narrated to us the story of Newton and the apple tree, and asked us why things always fell toward the Earth. She asked us many other questions – questions about natural phenomena that I had never thought about before. “Why do we see lightning before we hear thunder? How can we measure the speed of a falling object?” We learnt never to take things for granted. “Always, always, always question what you see. Do you understand why it happens?”At first, I had a hard time understanding many of the concepts, and often stayed after class to learn more. Once, when I doubted that objects of different mass fell with the same acceleration, Ms. William and I conducted our own experiment with a pendulum to prove the theory. Throughout the year, whenever there was a concept or theory I did not understand, Ms. William would encourage me to research or carry out an experiment by myself. Under her guidance, I entered In doing so, she not only taught me to become inquisitive about the world, and also gave me the tools to explore it.Another gift that Ms. William gave me was an appreciation of literature. Before I met her, I had always stubbornly rejected as true literature any book that was not written by Enid Blyton. To me, there was nothing that could be better than the adventures of the Famous Five. But as the list of Enid Blyton “To Read” books grew shorter, I started hunting around for other novels to entertain me. I decided to take a look at the Reading List Ms. William had compiled. I still remember picking up Oliver Twist from the library shelf and looking at it skeptically. Today, I’m glad I had listened to Ms. William, for she not only introduced me to the world of Oliver and Fagin, but also that of Huckleberry Finn, Uncle Tom, the BFG, Lucy, Edmund, Susan and Peter. I remember coming to school early one morning, hardly able to contain my excitement, to tell Ms. William that I had finally finished all the books on her Reading List. She smiled in her usual way, and promptly gave me a second List.Although it’s been six years since I last saw Ms. William, her legacy lives on even today. Every time I read a particularly interesting book, I’d record it in my Reading List. My hope is to one day visit her, and to show her my new Reading Lists. I want her to know how much she has helped me to grow, and how much she has inspired me.Canadian poet and essayist Irving Layton wrote in his essay The Role of the Teacher that “It is usually from a gifted teacher that a child catches his first glimpse of harmony or wisdom and gets his first hint of the intellectual adventure which may engage him for the rest of his life.”Ms. William was that teacher for me."
Writing With Emily,Write about a piece of literature that changed your life./Topic of your choice,"In my naïve middle schools days, I did not think highly of English class. My love was math, with its logical equations, universal numbers, and challenging problems. English was my second language, something that surrounded and engulfed me the second I left the sanctuary of my Chinese-speaking home. English terrified me. I didn’t understand the phrases that my friends used; my essays always seemed childish and simple; and spelling was a constant enigma with its irregular rules. So instead, I hid behind a façade and pretended that English was not important. I tried to convince myself that math awards were the only academic achievements that I needed.My false fabrications crumbled as soon as I read the first ten pages of Emily of New Moon by L. M. Montgomery. All of sudden, I was mesmerized by the power of words. Montgomery’s vivid descriptions, rich images, and personal style made me feel like I had made a new friend. Soon, I was laughing with the protagonist, Emily Starr, as she made a lopsided pudding cake and crying with her when she was betrayed by a phony friend. Above all, as I read through the trilogy, I felt myself growing with Emily.With my analytical side, I was, at first, surprised at my book choice. While Emily Starr and I did share the same passionate and determined personality, Emily’s dream was to become a writer. I, on the other hand, was so disheartened by my lack of abilities in English that I was terrified of writing. However, Montgomery had such a way with her diction that she was able to convey her own love of writing through her characters. As a result, her characters were also able to convey that love to the readers. While reading through Emily’s innumerate attempts at finding the perfect lines for her poems and the most articulate ways to write her stories, I found myself looking for those elusive words with her. For the first time in my life, I realized what a series of well-chosen words could accomplish. Words allowed Montgomery’s ideas to travel across the decades; words allowed such lively and realistic people like Emily Starr to be created.Suddenly, I loved English, and L. M. Montgomery via Emily Starr became my role-model. The trilogy also taught me a lesson: the power of perseverance. I realized that I was not alone in my struggle to write better essays, and my failures did not reflect my intelligence but, instead, my lack of experience and practice. Even though Emily loved words and grew up writing, she still faced years of hard work, constant revisions, and uncountable rejections before she finally tasted the fruit of success. Who was I to expect instant success when I had only been speaking English for a few years at school?I began to emulate Emily’s determination. I worked my way through thousand-paged English workbooks; I channeled my over-imaginative ideas into stories; I even read under the bed-covers with a flashlight when my grandparents enforced a bedtime. I still received B’s on some of my essays, and my grammar tests still took a dip once in awhile. However, I did not let the disappointments deter me from my goal. Just like Emily, I simply stored away the bad news and worked harder.Then one day, my perseverance paid off. I could not believe it at first, but there it was, my little fictional piece, proudly claiming a whole page spread in our school’s literary journal. After I jumped onto my bed with joy, I reached into my bedside drawer to pull out my faithful yet worn copy of Emily of New Moon. I reread the part where Emily had her first poem published. I wanted to celebrate my first success with Emily."
Beyond What I Knew,"Evaluate a significant experience, achievement, risk you have taken, or ethical dilemma you have faced and its impact on you.","Imagine this: you are working on a complex jigsaw puzzle, placing piece after piece at ease, when you suddenly realize you have absolutely no idea what goes where next. I felt this initial shock when I first reached the third paragraph of a Judith Butler article I was reading for the Telluride Association Summer Program. What on earth is the language of discursive construction? I thought. What does Butler mean by creating a body “ex nihilo from the resources of discourse”?But as much as I analyzed and diagrammed, there was still some gaping hole in the puzzle that prevented me from seeing the larger picture of Butler’s argument. I could go no further alone. Pulling myself out of my seat, I began wandering the halls of the Telluride House for inspiration, when I ran into fellow TASPer Yichao Hao and asked him, “Did you understand this reading?” We sat down, and I handed him my marked-up book.His eyes swiftly roamed over the pages and his lips parted to say, “Yes… she’s describing how language actually acts on a body.”“But what does that actually mean?” I pursued, stuck in my preconceptions. “Is she referring to a physical transformation?”“Sometimes. See, you’re assuming that all actions have to be physical. But really, one way a body can take form is if we address it using language…”As he spoke, I could feel the missing piece sliding into place. It dawned on me that I had been blind all along, blinded by a worldview that was still too narrow. That was why I had such difficulty with the reading – I couldn’t imagine things existing beyond what I already knew. So I dug deeper and deeper with our conversation – past Judith Butler, past cultural norms, and past the status of chastity in Western history. By the time Yichao left my room, the nightstand was blinking 1:00 A.M.I was a sponge in the coming weeks, filling my brain and my notebook quickly with discourse, lessons and thought. As I became more and more of a post-structuralist and as universal truths I once held to be inherent were unmasked to be social constructs, I came to question everything. Suddenly, nothing could be taken for granted – and my world was redefined.I began to use Michel Foucault and Mary Douglas in those precious and endless streams of conversation outside the classroom. Every night, we would wait for one another in a group on the House balcony. And every night, when enough people had congregated, we would launch into anthropology and the possibility of ethnicist undertones in the international development industry; romantic relationships; censorship, specifically China’s technological panopticon in particular; evolutionary reasons for social phenomena; the meaning of life – anything under the sun. No matter how much homework we had, these talks nourished us and I would come back again and again, one day to tell people the merits of social enterprise, another to learn more about anarcho-capitalism than I could swallow in a night.And the learning never stops. Although the program itself has ended, the lessons survive forever. TASP taught me to be skeptical of everything, even something as ubiquitous or “inherent” as gender. By creating such a binary, we leave room to discriminate those who happen to fall through the cracks of intelligibility. The prejudice directed toward transgender people is an example. Only by scrubbing away these binaries can we take a step toward viewing the world in shades of gray – not as black and white, homosexual and heterosexual, male and female, or rich and poor; not as young and old, native and foreign, or convict and innocent, but as people, forever heterogeneous pieces in the jigsaw puzzle that represents our whole world, in harmony."
Finding My Faith,Personal statement for the common application.,"A year and a day’s journey lay ahead of every fabled knight in search of the ever elusive Holy Grail, and if said knight was deemed worthy to find it, exhaustion would cause him to sleep at the feet of the Grail without ever truly seeing it. And while medieval grail legends are fiction, to this day people argue about the grail’s true nature. Most recently, Dan Brown’s novel The Da Vinci Code put the limelight back on the ‘alternative’ history as portrayed by Gnostic Gospels and guess work. In retaliation, the orthodoxy condemned the book, and sparked an interest in the matter that consumed an entire summer of private research. From my late nights of reading, I just became entirely lost in what was fiction and what wasn’t; but I did tend to side with the less spoken for side of the story.Part of the reason why I like the controversy of alternative history is that I don’t approve of the organized manifestation of religion, churches. It is clear to me that the root of the problem is that in order to keep multitudes of people believing the same thing, the powers that be have to be strict about conformity to the message. But something gets in the way of that, it’s commonly called personal faith. When enough people’s personals faiths are very similar they like to start their own churches, and if it happens a lot, it gets coined a Reformation. But it is here faith can get lost. A wise friend once told me, “no two people can really worship exactly the same God” Likewise, two people cannot see Jesus in exactly the same way. That is why monotheistic religions took longer to develop than polytheistic religions did. In the ancient civilizations, there were gods and goddesses for almost everything. People prayed to what was important to them. With the rise of the one true God, problems arose. First, if both sides of a conflict believe in the one true God, how can either side be the worthy cause? Also, if something in one’s personal life has gone awry, how will the one God have time for small issues? This is why there are patron saints for just about everything now. Still, churches eliminate the need for any kind of substantial personal faith. If you need a group of people or a book to tell you how to feel, or what to believe than you lack faith.My faith is basic. I believe that things happen for a reason, and if I do something wrong I will get punished for it, and if I do something right I’ll get rewarded for it. I believe that I am not in control of everything and must to my best to respect those things that I cannot control that are greater than me, Nature, or whatever else that power may be. Because I have trust in what I believe, alternative histories don’t shake the religious ground on which I walk."
More on Rowing,Please continue your common app short answer.,"The first rower I ever met was my proctor in my dorm. At the end of her senior year, her first year on varsity, I asked her how she felt about closing her career with a championship. “I would have rather been on third boat,” she said, “Less stress.”Though this and all other signs indicated that high-level rowing would lead to hypertension late in life. I wanted a varsity letter more than most anything. When my second season rolled around, I was given a chance to get the letter, but at first, varsity was living up to all I had heard it would be. Day after day I would diagram seat line ups, seat races, nagging my brain trying to anticipate the next day’s practice instead of doing homework. Before our first race, what was then second boat, with me at two seat, met to discuss our race plan. We divided our race into three 500-meter sections. The first was the dubbed the ‘attack’ 500, where we were supposed to get out in front as early in the race as possible; the second was dubbed the ‘mack truck’ 500, for its true test of ability to barrel through the hardest part of the race; the last was the ‘blast off’ 500 for the all out, no-guts-no-glory sprint, ideally to victory. From that race, our boat became known as the Mack Truck, for our post race cheer.The Mack Truck was more the spirit of our boat than the people, though we were rather attached to each other. My pair once confided in me if she was seat raced into first boat, she would throw it to stay with the Mack Truck. No one could guess that we were a varsity boat, we didn’t live up to the varsity equals extra stress standard. Only on the Mack Truck would someone shout ‘Look its foxes!’ and then pause in the middle of a piece, or the bow four learn new uses for the reeds that float in our river. Our coaches used us as a model for other boats with the theory that we row better if happier. And next year, when all the boat lineups change, I hope the Truck will live again, only in the team as a whole. Surely the attitude we cultivated in our boat will ward off the hypertension that I once assumed was an inevitable component of the rowing life!"
The Duty of a Journalist,"Evaluate a significant experience, achievement, risk you have taken, or ethical dilemma you have faced and its impact on you.","“You have a choice to make. If you choose to publish that article, you will be responsible for ruining the reputation of the school. Do you want to have that on your shoulders?” Assistant Principal Jeff Dingo asked me sternly. The following day, Principal Joe Schwartz summoned me to his office and warned that although he had never censored the school newspaper, Tandro, he had the right to do so. Several faculty members advised me to think carefully about publishing the article. Seven months earlier at the Iowa Forensics Institute, I researched and debated whether journalists have an ethical obligation to withhold information from the public. Now, as co-editor-in-chief of Tandro, I needed to answer that question in the “real world.”Less than a week earlier, we had learned of a drinking incident on a school-sponsored trip to France and decided to investigate. Gradually, we discovered the administration’s motive for seeking to suppress the story. Despite adopting a zero-tolerance policy following the widely publicized 2003 Homecoming drinking debacle, the administration rescinded the punishments it had meted out because students had apparently been told by a faculty chaperone they could drink in moderation to fully experience the culture.The story had merit, but I was deeply troubled by the potential repercussions of publication, including sullying the reputations of participating students, faculty chaperones and the school, jeopardizing future field trips and precipitating a backlash against Tandro and its staff. I also considered the feasibility of preserving the Tandro experience in light of Principal Schwartz’s threat. After much study, consultation and reflection, I determined that suppressing the article would be a dereliction of journalistic duty and the practical equivalent of submitting to censorship.In view of the political pressures, it was agreed, contrary to customary Tandro practice, that I should co-author the article and personally verify its accuracy and fairness. I interviewed several key students and sought confirmation from teachers and administrators, most of whom refused to cooperate. I decided we should focus on the school’s zero-tolerance policy and the strengths and weaknesses of the travel abroad program and eschew the sensationalism of disclosing names and discussing details of drunken behavior.We published the article without prior review by the administration. Unlike the 2003 Homecoming, other media did not cover the incident, and there was no backlash. Indeed, numerous faculty members, including some who had advised against publication, complimented the article and the manner in which we conducted ourselves. Additionally, The Journal News ranked the article first in the News category of its High School Journalism Awards.I am confident that our decisions were correct as a matter of principle. Our actions also had the added benefit of re-establishing the proper relationship between Tandro and the administration, as demonstrated by the administration’s recent refusal to quash a potentially controversial article about a local clergyman despite pressure from several parents. However, writing the article sensitized me to the administration’s concerns about negative publicity and sharpened my awareness of the responsibilities and burdens of a reporter, especially in connection with the reputations of affected people."
A Tradition of Service,How do you use your talents to help others?,"Each weekend before Christmas the tempting aromas of ginger, cloves and cinnamon permeate our kitchen as jovial friends and family gather. Freshly baked gingerbread for miniature houses are laid out on the table, and bowls of candy and homemade icing cover the countertops. We eagerly coat the gingerbread shapes with icing and adorn them with colorful candy patterns. Once the walls and roofs are covered with sweets, each house is assembled on a tinfoil-covered cardboard platform coated with snow-like white icing and coconut “snowflakes,” licorice paths, and the like.My family strongly believes that the true Christmas spirit includes sharing with others, so one house remains with us and the others are wrapped in brightly colored cellophane, tied with festive ribbons, and given away. Each child takes a small gingerbread house to school to share with classmates and gives cookies to teachers and staff. The largest house and other treats are brought to our church to be taken to a homeless shelterThis spirit, however, does not surface at Christmas time only, but rather illustrates a spirit manifest in our house throughout the year. My mother has always tried to make community service an exciting and fun-filled family project, and throughout the year as a child I would help my mother cook meals, bake deserts, and purchase necessities for a senior citizens’ center in connection with our church’s community service program.The example my mother set by giving her time to help those less fortunate has inspired me to use my own talents to help others and give back to the community. Tutoring at the Coachman Family Center has been a wonderful experience because I have been able to interact with children with a completely different set of life experiences. I derive internal satisfaction from these visits by helping children, and I realized the extent to which I can positively affect the lives of others when one child informed me that my tutoring was integral to his passing his final math exam.My experience tutoring, as well as my love for debate, inspired me to look for a way to use my debate talent to help others. I have volunteered to teach members of the Scarsdale Middle School speech and debate club and have worked to promote the VOICES Foundation, an organization that raises money for the purpose of allowing underprivileged children to participate in debate. These experiences have inspired me to consider other ways that I can use my talents to help others, such as by founding and coaching a debate program in an inner city school. Debate has proven to be both an enjoyable and intellectually enriching activity for me and I would like others to have the opportunity to have the same experience.I know my family's Christmas tradition gave me the inspiration to serve others, and I am eager to continue helping others in meaningful ways in the future."
Jerk Chicken,"Using the quotation below as a jumping off point, tell us about an event or experience that helped you define one of your values or changed how you approach the world:''Some questions cannot be answered./ They become familiar weights in the hand,/ Round stones pulled from the pocket, unyielding and cool.''1- Jane Hirshfield, poet, Princeton Class of 1973","I prodded the chicken with my fork. The rest of the table was heatedly arguing about health care while I wondered how much longer the school fundraiser dinner would last. Then, an idle comment uttered by a boy I didn’t know made my head jerk up.“…It’s all because of those Jewish bastards in Congress,” he finished.Silence dropped like a hammer on a nail. I stared.A friend glanced at me and said, “She’s Jewish, you know.”I was paralyzed. Questions flickered through my mind. Chief among them was simply: “Why?”Why intolerance? Why again?My mouth moved. “You're the bastard, if you think that saying that is okay,” I said. My calm, forceful words surprised me. I felt like a marionette, lips and limbs moving at the whim of an outside force.He flushed. “I wasn't insulting you.”I went on a brief, terse rant, wondering all the while whose tongue was uttering my words. The boy stared at me, but wouldn’t apologize, and I stood and left the table. The hollow disdain in his eyes haunted me. Later that night, I reflected on his words.I’ve always known that Jews are rare on the Eastern Shore. In elementary school, someone once asked me what a Jew was. The questions have evolved since then: What’s the story behind Passover? What makes Jews different from Christians? I love such questions. Thanks to my friends’ curiosity, I’ve learned more about Judaism myself than I might have otherwise; it’s the rarity of my religion that has helped make it precious to me. Being Jewish has become a core part of my persona, and I wouldn't trade that for all the simplicity in the world.Over the years, I’ve seen prejudice in action and heard occasional insults. But when faced with such instances, my parents carried themselves with pride and self-assurance, and I took my cues from them. I learned how to deal with prejudice and moved on. Sometimes it hurt, especially when I discovered unsavory elements in people I liked. But I learned patience, tolerance, and empathy, and those lessons are easily worth a few bruises.At the fundraiser dinner, it had been a while since I’d heard such blatant anti-Semitism. I was initially furious. But afterwards, my anger dimmed, to be joined by a sense of pride and gratitude. Yes, the boy was ignorant and spiteful, but he’d revealed some important things. I was proud of my quick response—though perhaps I hadn’t been civil, remaining silent would have been traitorous to myself and my faith. More importantly, I was proud of my companions. The next day, I learned that they’d had words with him, too, and that he’d stalked away after finding no sympathy.Instances like the one at the school fundraiser dinner are consequences of living in the larger world; fully escaping prejudice is impossible. But more important is the way in which we approach such cases. I chose to focus on the support of my friends, the acceptance I witness every day, and the enrichment that comes from mingling cultures instead of on momentary glimpses of intolerance. My experiences as a minority on the Eastern Shore have taught me that the world is fundamentally a good place, and that it is my duty to continue to make it so. As a proud Jew, I will always promote understanding and denounce ignorance. And most importantly of all, I’ll do it alongside my many friends—Jew and gentile alike."
